,cust_id,count_accts,cm_age,flag_top_ed_spender,flag_cust_fee_paid_6m,pre6m_cust_spend,pre6m_cust_roc_cnt,pre6m_cust_non_disc_amt,pre6m_cust_non_disc_cnt,pre6m_cust_disc_amt,pre6m_cust_disc_cnt,pre6m_cust_outbound_amt,pre6m_cust_online_amt,pre6m_cust_online_cnt,pre6m_cust_travel_amt,pre6m_cust_travel_cnt,pre6m_cust_retail_amt,pre6m_cust_retail_cnt,pre6m_cust_myca_active,pre6m_cust_mob_logins,pre6m_total_mc_trs,acq_sub_chn,acq_type_grp,fee_type_grp,Cust_tenure,pre6m_spend_active_ind,highly_utilized_ind,min_pay_ind,paid_in_full_ind,sum_total_line_amt,direct_debit_ind,referrals,spillover,self_accts,Customer Low Quality indicator,cdss_most_rcnt_prob,cust_max_credit_12m_amt,cust_max_remit_12m_amt,cbr_3_score,cnsumr_chrg_actv_cust_cnt,cnsumr_chrg_avg_credit_12m_amt,cnsumr_lend_actv_cust_cnt,cnsumr_lend_tot_util_ratio,sow_revol_avg_paydown_pct,sow_tot_annual_ext_pmt_amt,sow_tot_revol_bal_amt,sow_tot_revol_cnt,sow_tot_trans_bal_amt,sow_tot_trans_cnt
10,569996,1,55,0.0,0,,0,,0,,0,,,0,,0,,0,0,0,1,Paid Search,external,no_fee,8.0,0.0,0.0,0.0,0.0,16000,0.0,0.0,0.0,0.0,0.0,0.0,,,1399.0,0.0,,1.0,0.0,0.0,1.0,,0.0,,0.0
11,569997,1,37,1.0,0,3408,492,913.0,182,2496,310,247.0,829.0,64,784.0,34,893.0,154,0,0,10,Paid Search,external,reduced_fee,7.0,1.0,0.0,0.0,1.0,44000,0.0,0.0,0.0,0.0,0.0,0.0,615.0,615.0,1232.0,0.0,,1.0,0.04849,0.0,9994,,0.0,75.0,2.0
12,569998,1,36,1.0,1,5114,376,1075,152,4039,224,983.0,2041,112,1038,32,1291,160,3,3,135,MGM,external,full_fee,4.0,1.0,0.0,0.0,0.0,26667,0.0,1.0,0.0,0.0,0.0,0.0,1727,1661,1376.0,0.0,,1.0,0.029443,0.0,,,0.0,,0.0
13,569999,1,29,1.0,0,276.0,16,84.0,12,193.0,4,185.0,44.0,4,185.0,2,39.0,10,4,4,4.0,MGM,external,no_fee,1.0,0.0,0.0,0.0,0.0,6667,0.0,0.0,0.0,0.0,0.0,0.005,,,998.0,0.0,,1.0,0.012705,0.0,,,0.0,,0.0
14,570000,2,32,1.0,1,6352,890,1434,336,4919,554,281.0,3303,440,2999,170,1671,392,15,27,285,In House,others,full_fee,11.0,1.0,0.0,0.0,1.0,39333,1.0,2.0,0.0,0.0,0.0,0.0,1311,1280,1308.0,0.0,299.0,2.0,0.021901,0.0,,,0.0,,0.0
15,570001,1,67,0.0,1,11611,58,2536,14,9075,44,52.0,1025,44,7280,4,4011,50,0,0,34.0,MGM,external,full_fee,26.0,1.0,1.0,0.0,0.0,61200,0.0,0.0,0.0,0.0,0.0,0.0,5738,5688,1255.0,0.0,,1.0,0.023137,0.0,8435,,0.0,1154,5.0
16,570002,2,55,1.0,0,127.0,38,70.0,22,57.0,16,0.0,49.0,16,4.0,2,82.0,28,13,23,24,Partner,external,no_fee,21.0,1.0,0.0,0.0,1.0,12067,1.0,1.0,0.0,0.0,0.0,0.0,72.0,72.0,1300.0,0.0,,2.0,0.013678999999999998,0.01,9092,1958,2.0,403.0,3.0
17,570003,1,33,1.0,1,3532,1174,910.0,640,2622,534,379.0,728.0,224,979.0,174,1381,586,4,4,74.0,MGM,external,reduced_fee,16.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1442,1436,1053.0,1.0,632.0,0.0,0.0,0.0,422.0,,0.0,,2.0
18,570004,1,30,0.0,0,4411,330,153.0,44,4258,286,554.0,522.0,204,3475,162,207.0,54,5,5,36.0,Paid Search,external,full_fee,9.0,1.0,0.0,0.0,1.0,20000,0.0,2.0,1.0,0.0,0.0,0.0,1162,1162,1243.0,0.0,,1.0,0.082186,0.0,,,0.0,,0.0
19,570005,2,35,0.0,0,4634,818,606.0,200,4029,618,733.0,2970,416,2091,228,1111,318,0,0,71.0,Affiliates,external,full_fee,71.0,1.0,0.0,0.0,1.0,88800,1.0,0.0,0.0,0.0,0.0,0.0,1179,1121,1346.0,0.0,,2.0,0.02932,0.0,,,0.0,,0.0
20,570006,1,42,1.0,1,4252,718,2357,316,1894,402,223.0,925.0,152,43.0,28,2430,328,3,3,24.0,Unreferred,external,reduced_fee,14.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,887.0,887.0,1376.0,1.0,537.0,0.0,0.0,0.0,,,0.0,,0.0
21,570007,1,45,1.0,0,1448,364,627.0,150,822.0,214,81.0,841.0,232,175.0,50,554.0,184,4,4,2,MGM,external,no_fee,29.0,1.0,0.0,0.0,0.0,20000,0.0,0.0,0.0,0.0,0.0,0.0,321.0,321.0,1274.0,0.0,,1.0,0.00014199999999999998,0.0,,,0.0,,0.0
22,570008,1,33,0.0,0,489.0,114,137.0,32,352.0,82,146.0,244.0,68,53.0,34,293.0,56,4,6,11,MGM,external,reduced_fee,1.0,1.0,0.0,0.0,0.0,3000,0.0,1.0,0.0,0.0,0.0,0.03,179.0,174.0,952.0,0.0,,1.0,0.067062,0.0,,,0.0,,0.0
23,570009,2,33,1.0,1,14662,942,2821,394,11842,548,3650,8022,668,4929,102,5787,562,13,55,222.0,Unreferred,external,full_fee,47.0,1.0,0.0,0.0,0.0,60000,1.0,0.0,0.0,0.0,0.0,0.0,3742,3340,1197.0,1.0,2065,1.0,0.0,0.0,8525,,0.0,1420,3.0
24,570010,1,46,0.0,0,719.0,54,719.0,54,,0,,,0,,0,,0,5,6,7,Unreferred,external,reduced_fee,10.0,1.0,0.0,0.0,1.0,8000,0.0,0.0,0.0,0.0,0.0,0.005,124.0,124.0,1106.0,0.0,,1.0,0.1,0.2544,4581,505.0,3.0,115.0,3.0
25,570011,2,42,1.0,1,8284,674,1745,154,6539,520,1192,5586,660,528.0,38,2623,234,13,91,158.0,Direct,others,full_fee,18.0,1.0,0.0,0.0,1.0,59600,0.0,0.0,0.0,0.0,0.0,0.001,1619,1366,1220.0,1.0,683.0,1.0,-0.000202,0.2348,844.0,361.0,2.0,,0.0
26,570012,1,69,1.0,1,18730,500,2940,170,15791,330,1326,2635,384,11539,160,3022,210,8,12,10.0,Unreferred,spillover,full_fee,92.0,1.0,0.0,0.0,1.0,102800,0.0,0.0,0.0,0.0,0.0,0.0,5867,5867,1315.0,0.0,,1.0,0.283681,0.0,5753,,0.0,659.0,2.0
27,570013,2,40,1.0,1,7717,406,4020,212,3697,194,351.0,2489,232,1086,8,5271,288,11,15,77,MGM,spillover,full_fee,14.0,1.0,0.0,0.0,1.0,53200,0.0,0.0,0.0,0.0,0.0,0.0,1993,1694,1372.0,1.0,655.0,1.0,0.24538400000000002,0.0,5743,,0.0,754.0,2.0
28,570014,1,36,0.0,0,2034,358,539.0,120,1496,238,617.0,256.0,48,722.0,34,646.0,146,6,11,22.0,Unreferred,external,reduced_fee,12.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.002,577.0,558.0,1342.0,1.0,265.0,0.0,0.0,0.0,533.0,,0.0,,2.0
29,570015,1,39,0.0,0,5125,702,1373,232,3753,470,2078,1804,520,1894,186,2006,310,9,243,584.0,Media,external,no_fee,39.0,1.0,1.0,0.0,0.0,72267,0.0,0.0,0.0,0.0,0.0,0.009000000000000001,4792,4792,1053.0,0.0,,1.0,0.57221,0.0317,178.0,549.0,2.0,,0.0
30,570016,1,31,0.0,0,680.0,162,457.0,136,224.0,26,,181.0,32,1.0,2,90.0,28,0,0,5,Search,external,no_fee,21.0,1.0,0.0,0.0,1.0,25200,1.0,1.0,0.0,0.0,0.0,0.0,226.0,226.0,1323.0,0.0,,1.0,0.021536000000000003,0.0,,,0.0,,0.0
31,570017,3,46,1.0,1,4615,650,1652,234,2963,416,46.0,1682,64,647.0,222,3468,278,18,240,60.0,Unreferred,others,full_fee,18.0,1.0,0.0,0.0,1.0,103667,0.0,3.0,3.0,2.0,0.0,0.001,1293,1241,1369.0,1.0,672.0,2.0,0.0,0.0,1307,,0.0,,2.0
32,570018,1,30,1.0,0,4336,852,565.0,210,3771,642,1176,2370,288,611.0,300,1120,262,7,20,59.0,MGM,spillover,no_fee,9.0,1.0,0.0,0.0,1.0,34667,0.0,1.0,1.0,1.0,0.0,0.008,902.0,898.0,1255.0,0.0,152.0,1.0,0.225791,0.0,,,0.0,,0.0
33,570019,1,50,0.0,0,2572,372,1661,166,911.0,206,288.0,529.0,304,59.0,10,1778,264,5,7,20.0,Direct,external,reduced_fee,9.0,1.0,0.0,0.0,1.0,39800,1.0,0.0,0.0,0.0,0.0,0.0,1109,1101,1300.0,0.0,,1.0,0.06841,0.0725,2745,1688,3.0,,0.0
34,570020,1,39,0.0,0,1023,204,443.0,132,581.0,72,,317.0,48,155.0,10,601.0,154,7,37,26,Unreferred,external,no_fee,4.0,1.0,0.0,0.0,1.0,26667,1.0,0.0,0.0,0.0,0.0,0.0,292.0,292.0,1274.0,0.0,,1.0,0.028899,0.0,62.0,,0.0,,0.0
35,570021,2,36,1.0,0,1137,62,1065,34,72.0,28,6.0,24.0,12,1.0,2,1051,38,15,37,35,Affiliates,spillover,no_fee,11.0,1.0,0.0,0.0,1.0,86667,0.0,1.0,0.0,0.0,0.0,0.0,843.0,843.0,1281.0,0.0,,2.0,0.0,0.0,,,0.0,,0.0
36,570022,1,35,0.0,0,3986,308,521.0,156,3466,152,72.0,2291,120,539.0,6,1821,148,9,218,10,MGM,spillover,full_fee,49.0,1.0,0.0,0.0,1.0,43600,1.0,1.0,0.0,0.0,0.0,0.0,1030,1028,1346.0,0.0,,1.0,0.01854,0.0,2451,,0.0,34.0,2.0
37,570023,2,36,1.0,0,9097,890,3222,214,5876,676,290.0,5902,188,3963,342,1291,292,15,37,7.0,Unreferred,external,no_fee,32.0,1.0,0.0,0.0,1.0,76000,1.0,1.0,0.0,0.0,0.0,0.001,4558,3943,1296.0,0.0,528.0,2.0,0.017255,0.0,3438,,0.0,10.0,2.0
38,570024,1,30,1.0,0,3916,982,516.0,198,3400,784,653.0,1527,380,1133,302,1198,308,0,0,4,MGM,external,reduced_fee,31.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.001,1933,1858,1186.0,1.0,530.0,0.0,0.0,0.0,,,0.0,,0.0
39,570025,1,42,1.0,0,7984,732,5065,440,2919,292,404.0,1091,264,155.0,16,5257,402,0,0,21.0,MGM,external,full_fee,68.0,1.0,0.0,0.0,0.0,119200,0.0,0.0,0.0,0.0,0.0,0.0,1953,1917,1232.0,0.0,,1.0,0.009347,0.0,,,0.0,,0.0
40,570026,1,34,1.0,0,7602,752,1540,180,6062,572,404.0,866.0,220,855.0,138,4823,248,4,5,28,Unreferred,external,full_fee,61.0,1.0,1.0,0.0,1.0,98800,1.0,0.0,0.0,0.0,0.0,0.0,8332,8332,1137.0,0.0,,1.0,0.008923,0.0,,,0.0,,0.0
41,570027,1,34,1.0,0,7098,1716,534.0,360,6564,1356,2069,2432,1092,2111,408,2241,482,7,15,120.0,MGM,external,reduced_fee,11.0,1.0,0.0,0.0,0.0,23600,0.0,0.0,0.0,0.0,0.0,0.0,1551,1539,1239.0,0.0,,1.0,0.01094,0.0,,,0.0,,0.0
42,570028,1,31,0.0,1,2492,402,479.0,36,2013,366,73.0,1663,600,194.0,10,979.0,96,9,41,23.0,MGM,external,full_fee,17.0,1.0,0.0,0.0,1.0,44000,1.0,1.0,0.0,0.0,0.0,0.0,376.0,356.0,1369.0,0.0,,1.0,0.07496599999999999,0.0,,,0.0,,0.0
43,570029,1,59,0.0,0,5338,222,1191,116,4147,106,782.0,1347,88,3098,26,1649,158,5,5,59.0,MGM,external,full_fee,10.0,1.0,0.0,0.0,1.0,43600,0.0,0.0,0.0,0.0,0.0,0.0,1544,1544,963.0,0.0,,1.0,0.091511,0.0,,,0.0,,0.0
44,570030,1,33,1.0,0,,0,,0,,0,,,0,,0,,0,0,0,1,MGM,external,no_fee,,,,,,,,,,,,0.001,,,1304.0,0.0,,1.0,0.0,0.0,,,0.0,,0.0
45,570031,1,43,0.0,1,6376,840,2469,250,3908,590,395.0,2848,376,2247,266,3337,456,5,7,111,In House,others,full_fee,5.0,1.0,0.0,0.0,1.0,56000,0.0,1.0,1.0,1.0,0.0,0.0,1839,1827,1300.0,0.0,,1.0,0.145743,0.0,4126,,0.0,9.0,3.0
46,570032,1,61,0.0,0,7475,210,151.0,20,7324,190,1592,2513,52,5324,120,1266,16,8,33,118.0,Unreferred,external,no_fee,6.0,1.0,0.0,0.0,1.0,60000,0.0,0.0,0.0,0.0,0.0,0.0,1689,1670,1110.0,0.0,,1.0,0.038376,0.3578,16754,4440,2.0,49.0,4.0
47,570033,1,37,1.0,0,5225,1310,1057,262,4168,1048,369.0,849.0,200,863.0,350,1595,350,4,4,88.0,MGM,external,reduced_fee,10.0,1.0,0.0,0.0,1.0,16000,0.0,2.0,0.0,0.0,0.0,0.0,1081,1010,967.0,0.0,,1.0,0.298168,0.0,,,0.0,,0.0
48,570034,1,34,1.0,0,8177,1006,1706,206,6472,800,3231,1970,384,3218,274,1845,240,4,4,70,MGM,external,full_fee,8.0,1.0,0.0,0.0,1.0,35200,1.0,0.0,0.0,0.0,0.0,0.0,2042,2017,1224.0,0.0,,1.0,0.182633,0.0,,,0.0,,0.0
49,570035,1,41,0.0,0,6557,1264,2425,632,4133,632,871.0,2194,500,1496,282,2665,628,9,104,97.0,MGM,external,full_fee,11.0,1.0,0.0,0.0,0.0,46400,0.0,2.0,0.0,0.0,0.0,0.0,1309,1278,1376.0,0.0,,1.0,0.127747,0.0,,,0.0,,0.0
50,570036,2,41,1.0,0,17880,904,2529,116,15352,788,326.0,4159,464,1781,240,13267,304,15,69,12,In House,others,no_fee,132.0,1.0,0.0,0.0,1.0,111600,1.0,0.0,0.0,0.0,0.0,0.0,6208,6207,1376.0,0.0,,2.0,0.31916100000000003,0.0,,,0.0,,0.0
51,570037,1,37,1.0,0,7965,1226,1172,212,6793,1014,771.0,2248,184,2630,326,1783,244,5,5,85.0,MGM,external,reduced_fee,35.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,2040,2040,1304.0,1.0,929.0,0.0,0.0,0.0,,,0.0,,0.0
52,570038,1,40,0.0,0,,0,,0,,0,,,0,,0,,0,4,8,0,MGM,external,full_fee,1.0,0.0,0.0,0.0,0.0,1000,0.0,1.0,0.0,0.0,0.0,0.012,,,0.0,0.0,,1.0,0.0,0.0,,,0.0,,0.0
53,570039,2,65,1.0,1,9180,592,1985,324,7196,268,737.0,2229,216,940.0,50,4428,364,13,35,232.0,In House,others,full_fee,137.0,1.0,0.0,0.0,0.0,27200,1.0,2.0,0.0,0.0,0.0,0.0,4193,4120,1338.0,1.0,1554,1.0,0.0,0.0,3628,,0.0,195.0,2.0
54,570040,1,41,0.0,0,2917,344,956.0,112,1962,232,355.0,1289,152,910.0,82,1413,152,0,0,10.0,Unreferred,external,no_fee,43.0,1.0,0.0,0.0,1.0,37733,1.0,0.0,0.0,0.0,0.0,0.0,754.0,754.0,1239.0,0.0,,1.0,0.0016769999999999999,0.0,,,0.0,,0.0
55,570041,1,32,1.0,0,3210,386,377.0,66,2833,320,114.0,2006,124,1785,120,619.0,100,4,4,10.0,Unreferred,spillover,full_fee,27.0,1.0,0.0,0.0,1.0,46800,0.0,0.0,0.0,0.0,0.0,0.0,861.0,794.0,1353.0,0.0,,1.0,0.002935,0.0,,,0.0,,0.0
56,570042,1,32,0.0,0,5297,114,80.0,12,5216,102,101.0,4893,184,1035,26,570.0,22,4,7,12.0,Unreferred,external,no_fee,11.0,1.0,1.0,0.0,1.0,13333,1.0,0.0,0.0,0.0,0.0,0.012,1414,1080,938.0,0.0,,1.0,0.0,0.0,,,0.0,,0.0
57,570043,1,29,0.0,0,1559,170,129.0,30,1429,140,50.0,288.0,32,224.0,12,303.0,40,0,0,24,Unreferred,external,no_fee,4.0,1.0,0.0,0.0,1.0,13333,0.0,0.0,0.0,0.0,0.0,0.0,281.0,281.0,1300.0,0.0,,1.0,0.0,0.0,,,0.0,,0.0
58,570044,1,33,0.0,0,1146,22,50.0,10,1097,12,926.0,993.0,8,67.0,2,965.0,10,4,13,27.0,Affiliates,external,no_fee,1.0,1.0,0.0,0.0,0.0,5000,1.0,0.0,0.0,0.0,0.0,0.004,,,987.0,0.0,,1.0,0.053801999999999996,0.0,,,0.0,,0.0
59,570045,2,41,1.0,1,6816,1014,1022,264,5795,750,655.0,2762,392,3890,350,1425,338,13,321,46,Unreferred,spillover,full_fee,106.0,1.0,0.0,0.0,1.0,86000,1.0,0.0,0.0,0.0,0.0,0.0,1360,1345,1376.0,0.0,,1.0,2.8999999999999997e-05,0.0,19.0,,0.0,,0.0
60,570046,1,42,0.0,1,9962,1106,3576,542,6387,564,2328,5193,784,675.0,28,3997,528,0,0,84.0,MGM,spillover,full_fee,16.0,1.0,0.0,0.0,1.0,48000,0.0,0.0,0.0,0.0,0.0,0.0,2684,2646,1182.0,0.0,,1.0,0.095965,0.01,2675,2575,2.0,273.0,2.0
61,570047,1,35,1.0,1,4793,566,986.0,236,3807,330,514.0,2443,308,2051,114,1863,346,0,0,43.0,Unreferred,external,full_fee,39.0,1.0,0.0,0.0,1.0,57600,0.0,0.0,0.0,0.0,0.0,0.0,1561,1552,1023.0,0.0,,1.0,0.050882,0.0,,,0.0,,0.0
62,570048,1,64,1.0,0,3025,162,1103,132,1922,30,15.0,1211,28,1860,20,943.0,116,9,134,10,Partner,external,no_fee,27.0,1.0,0.0,0.0,1.0,52800,1.0,0.0,0.0,0.0,0.0,0.0,1742,1742,1304.0,0.0,,1.0,0.195941,0.0,7053,,0.0,448.0,2.0
63,570049,3,78,0.0,0,10757,222,52.0,6,10706,216,3401,7370,344,9217,84,1121,92,21,837,190.0,Unreferred,external,no_fee,13.0,1.0,0.0,0.0,1.0,66400,1.0,0.0,0.0,0.0,0.0,0.049,3704,3704,1034.0,0.0,862.0,2.0,0.087884,0.0,293.0,,0.0,80,3.0
64,570050,1,39,1.0,0,,0,,0,,0,,,0,,0,,0,0,0,7,MGM,external,full_fee,13.0,0.0,0.0,0.0,0.0,6000,0.0,0.0,0.0,0.0,0.0,0.001,72.0,72.0,1209.0,0.0,,1.0,0.0,0.0,,,0.0,,0.0
65,570051,3,41,0.0,0,129.0,10,52.0,2,77.0,8,,,0,,0,112.0,8,9,12,35,MGM,external,full_fee,10.0,1.0,0.0,0.0,0.0,74600,0.0,2.0,0.0,0.0,0.0,0.001,59.0,59.0,1209.0,0.0,,3.0,0.0,0.0,,,0.0,,0.0
66,570052,1,67,0.0,1,2301,50,,0,2301,50,722.0,1392,76,2127,40,8.0,4,4,4,53,Partner,external,full_fee,3.0,1.0,0.0,0.0,0.0,16000,0.0,0.0,0.0,0.0,0.0,0.022000000000000002,42.0,42.0,993.0,0.0,,1.0,0.54986,0.0,,,0.0,,0.0
67,570053,1,31,1.0,0,338.0,112,86.0,46,252.0,66,,23.0,12,57.0,46,229.0,42,4,4,7,Affiliates,external,no_fee,2.0,1.0,0.0,0.0,0.0,13867,1.0,1.0,0.0,0.0,0.0,0.001,,,1133.0,0.0,,1.0,0.023482,0.0,,,0.0,,0.0
68,570054,1,34,1.0,0,290.0,28,241.0,16,49.0,12,22.0,44.0,20,,0,91.0,18,4,7,2,MGM,external,full_fee,1.0,0.0,0.0,0.0,0.0,1000,0.0,1.0,0.0,0.0,0.0,0.008,,,812.0,0.0,,1.0,0.029993000000000002,0.0,,,0.0,,0.0
69,570055,1,35,1.0,0,,0,,0,,0,,,0,,0,,0,0,0,0,MGM,external,reduced_fee,,,,,,,,,,,,,,,,,,,,,,,,,
70,570056,2,45,1.0,1,14938,2212,3891,596,11048,1616,2156,7456,1552,2066,216,6775,1020,15,27,88,MGM,spillover,reduced_fee,101.0,1.0,0.0,0.0,1.0,92000,1.0,4.0,2.0,0.0,0.0,0.0,9549,8677,1357.0,0.0,47.0,1.0,0.12166800000000001,0.0223,73.0,1805,2.0,,0.0
71,570057,1,45,0.0,0,1712,306,558.0,216,1154,90,119.0,331.0,128,103.0,8,888.0,244,5,5,18.0,Affiliates,external,no_fee,24.0,1.0,0.0,0.0,0.0,22667,1.0,1.0,0.0,0.0,0.0,0.0,595.0,503.0,1190.0,0.0,,1.0,0.169128,0.0,1378,,0.0,470.0,5.0
72,570058,1,31,1.0,0,3719,352,472.0,126,3247,226,540.0,683.0,80,173.0,72,2285,152,3,3,20,MGM,external,no_fee,4.0,1.0,0.0,0.0,1.0,13333,1.0,0.0,0.0,0.0,0.0,0.0,1469,1467,1235.0,0.0,,1.0,-0.00047000000000000004,0.0,,,0.0,,0.0
73,570059,1,31,1.0,0,101.0,34,26.0,16,75.0,18,,,0,8.0,6,26.0,16,3,3,3,MGM,external,no_fee,1.0,0.0,0.0,0.0,0.0,3333,0.0,0.0,0.0,0.0,0.0,0.001,,,0.0,0.0,,1.0,0.013118000000000001,0.0,,,0.0,,0.0
74,570060,2,43,0.0,0,5560,386,1428,176,4132,210,115.0,2859,264,500.0,22,3600,172,15,33,143,Unreferred,external,reduced_fee,7.0,1.0,0.0,0.0,1.0,57200,0.0,0.0,0.0,0.0,0.0,0.0,1726,1667,1281.0,0.0,,2.0,0.15069000000000002,0.2261,2372,637.0,2.0,73.0,3.0
75,570061,1,39,0.0,0,,0,,0,,0,,,0,,0,,0,0,0,0,MGM,external,full_fee,1.0,0.0,0.0,0.0,0.0,2667,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,0.0,0.0,,,0.0,,0.0
76,570062,1,35,1.0,0,7317,782,1135,176,6183,606,539.0,3184,324,1169,214,3554,298,7,10,9,Unreferred,external,no_fee,71.0,1.0,0.0,0.0,1.0,32000,0.0,2.0,0.0,0.0,0.0,0.0,4688,3019,1346.0,0.0,,1.0,-0.073918,0.0,,,0.0,,0.0
77,570063,1,51,0.0,0,1897,30,28.0,8,1869,22,1609,1684,20,1694,8,85.0,8,0,0,84.0,Unreferred,external,no_fee,38.0,1.0,0.0,1.0,1.0,31600,0.0,0.0,0.0,0.0,0.0,0.005,1364,1357,1376.0,0.0,,1.0,0.007215000000000001,0.0,2712,,0.0,,0.0
78,570064,1,35,0.0,0,365.0,118,128.0,18,237.0,100,,54.0,16,97.0,74,196.0,28,0,0,2.0,Unreferred,spillover,no_fee,35.0,1.0,0.0,1.0,0.0,6000,0.0,0.0,0.0,0.0,0.0,0.001,294.0,294.0,1186.0,0.0,94.0,1.0,0.19337000000000001,0.0,,,0.0,,0.0
79,570065,1,51,1.0,0,4318,24,72.0,2,4246,22,,2976,24,4246,22,72.0,2,4,7,52.0,In House,others,full_fee,34.0,1.0,0.0,0.0,0.0,40000,0.0,0.0,0.0,0.0,0.0,0.0,1660,1660,1220.0,0.0,,1.0,0.69631,0.0,2209,,0.0,,0.0
80,570066,1,46,1.0,0,5340,246,1544,172,3796,74,74.0,3119,76,1398,2,3501,194,5,5,28.0,MGM,external,no_fee,17.0,1.0,1.0,0.0,1.0,24000,1.0,0.0,0.0,0.0,0.0,0.001,2199,2197,1159.0,0.0,,1.0,0.170308,0.0235,264.0,1783,2.0,,0.0
